DIRECTORY,FILE,ocr_before_preprocessing,ocr_after_grayscaling,ocr_after_rescaling,ocr_after_blurring,ocr_after_thresholding
plakatfotos,DSC_0007.JPG,      (ele  |  fer’? Ca O C VY)    ,     ,             tebig34. blogsport.de ,   \ . Ttebig34.blogsport.de  F  na t P        ,   a Ei fiebig34.blogsport.de  Ri  i 2 ead a        
plakatfotos,DSC_0008.JPG,                        \{Der    ,                               seum  Briicke-Mu  dstei9 9       rlin ,4 / . > 6    ,   ‚ 410 bs     Brücke— -Museum  i D- _  14195  bis 14 Me 2021 | brucch  ym.de           ,   ay € t Es     Brücke— -Museum  I D- ee  14195  ris 4 * Februar 2021 | brucch  ym.de           
plakatfotos,DSC_0009.JPG,"n \‘‚ \  # | A N ” rn  V ” Mi || nag 1 v‚*\‘&‘\""‘v‘.p\\y\‘ \ R iy CN La h teeW  5 R  SEE) 10. & 11. November RT 7. Dezember  Ticlatc und Infae— auatechcameducluh de_@ ©)    ",noii ihs o A EN © 4 SSO  ‘a Oh ra  Ss Wile Wien ODEN  Raed  Jagu Agentur RE deo C  <aorgm) 10. & 11. November coMEDY CLUB 7. Dezember  « Infoac- nunl‘cr‚hrnmpdllrl‚uh de ® © __  Tirkate un    ,1 ||m EWC: aaa Ce Eng mmm C ee qs ——— Jst ee I m mm q. “’„r„ == =.= — 2 3          yp -\ TOUR 2026            Se | 10. & 11. November COMEDY CLUB 7. Dezember                  Tirkote und Infoe— ml:ﬂ:rhrnmndurluh de     . ST mmm    ,       ”  10. & 11. November Pry saa) 7. Dezember  nc: nuatechcomedueluh de          Ticlate und Inf              is AMM    ,       D  10. & 11. November cOMEDY CLUB 7. Dezember  nc: nuatechramedurluh de          Tirbate und Inf              op yng TT    
plakatfotos,DSC_0010.JPG,   UND KOMPLIZ*INNEN    ,SOPHIEN SALE  = S ) ly mn Rag = ~” = Bay bog = a. & 0  pERFORMANCE / INSTALLATION OKTOBER 21 22 23 24 19.00 + 21.00 JHR    ,   SIMONE DEDE AYIVI  UND KOMPLIZ*INNEN        SOPHIEN SELE      |  SOPHIENSAELE.COM  PERFoRMANCE/INSTALLATION OKTOBER 21 22 23 24 19.00 + 21.00 JHR  Vm#‘ € ve ,   SIMONE DEDE AYIVI  UND KOMPLIZ*INNEN  K . & ” j 7  #  | x ) tm a — | im 3 | L3 =< u  h  tar | K_  hag H= —| =  PERFORMANCE / INSTALLafIon  OKTOBER 21 22 23 24 19.00 + 21.00 JHR  7g \ Nst ” a sy  ee  SOPHIENSAELE.COM                mm  SOPHIEN SELE          ,   SIMONE DEDE AYIVI  UND KOMPLIZ*INNEN  + ¢ © +  4  |am | \W—] = sd P wall im 3 Wa | |n < *  Ni  —| = +_  |! | — —| a  PERFORMANCE / INSTALLATION  OKTOBER 21 22 23 24 19.00 + 21.00 JHR  Sad R ae 3 i :  M K  SOPHIENSAELE.COM                ~  SOPHIEN SELE          
plakatfotos,DSC_0011.JPG,RE  3en  64 | 14 C> 4 a  BGIE: MICHAEL RUF  dehnqt d Ver Ww! 4  roy  Me w n  Pao 3/4 OKT 2020 nN \  Leen oa roy ie ae  Cur green  zh  22 OKT + 23/24 D\ ATHAFEN NEUKOLLN  ne HEIN NW kärdetfond [  symm = ag * ”*” BG @)) i  1»:    ,"Po — zu ""‚: F 9 & We | i A J fee M ihe i k 4  3en  64 * iCG<XQ@\ a  & | Selwt 6  Ver Ww! L  |  ""so mae VER ‚ \ IST THEATER  |  sept + 3/4 QKT 2020 R Y  22 OKT +23/24 NOV + Oy eal NEUKOLLN at |  HEINRIny BOLL  4 ([ ))) Förgertonds Sey rseH zie CD) ursct be mmm a Brot STIETUNG Demokratie PoSTCO|  ne Hele Parke y  ho 1 1a    ",5 Re  IE: MICHAEL RUF  32n 0. j „ *os \ \' €  gceahnt d Vergsd  e sh ie Wi ee  et  I gept + 3/40KT 2020 R {  Pa A) Ks D HEIMAT  OKT + 23 /24NOM *+ HAFEN NEUKÖLLN  oo    ,"C a arn \ N ” \\  & 4 T oh G n  \Y a  dehnt & Vertes  “SO REALITATSVERAM Su  gepf+3/4okT 2020  N  2 OKT +23/24NOV* MM ä ""4 ZATHF‘FE"" NEUKÖLLN Wi )    ","Lt CO \ \ ” :}y  % K iE: MICHAEL RUF |+  i ip  Selvt € Vet  Prete US) mk  Pit a ee Te g  N  20}(1""-»23/24""‘0\* M ä ""4 ZATHF‘FE"" NEUKÖLLN „4    "
plakatfotos,DSC_0012.JPG,b J versanmeln PH  A ee eae  Q  n l . i on q  — | 16:00 & 20:00 nn — bi N_ACHM\TTAGS-SHOW  * J  { Ma  \/ OLA Wi fi G 55 PME  fd Lna load  Mh  Ee oncaeid eu! Unk  kauf: jeweils 2490 € eer Gebiinre”) ‘ae Pree ae] a se 0  OL Pn na n Auf ungere' m    ,a nee  p \N% EJ 18.10. | a  Wh E\\  SURI Ä GfenZherelch ro alla TL Crt ee on  Dee Lela a Fics. Könzert ©  { Maa | iy d GOGOW  M G‘L' Kt Ws  g ) Pﬂ ae TOA Wi f et? SR ka 00 a ay Ny Ce par hy ] NA-C-HMITTAGS 5 r“ ht TicketS: 030144315109 ai Ln 2   Hi i Wael LAE to finde' I net // ﬁ ke sse i Ud  Wnty ) nantes Ta der Pent ierttys 17 U2/N2 Ebersw?' ” d J  ” u — et WWe    ,"RPEAGE: N%HIE 5LI-I\\N   18 10 PR © \v a aa sich  + Kesselhaus m“”w h © a  st % Wop Sei aa b 16:00 & 20:00 Pa ee — Kesselhaus =te = a  nc uﬂ A%""nd © % Lan  ” | MJE@QYY‚„L?„‘&':'‚ — 22.11. P ips oy  ** Me 20:00 yr \ Kesselhaus at Ch My i$ hh € a ee ay i i  Ew an (elhaus b  eine net / @ kesselhz)w  Meti n ühre Lr ei ) ean vA ”  gghetten sttt: Diase inden sie aut ungers? ”    ","          me KULR B R A U EN  it EEIEED h d  2 ”               di ea paar) A www.kes K ou La < ee Sa alba ph — 7 Ly M nn «-'“'1‘.\net NA h ee g ”  ba d ayy J h eA t t M E .  ‘ | #       zwittor etwt Iuese nunden si aut ungerer ** K "" U M l’ a ","          me KULR B R A U EN  NR 2010 oc Hn d  — m >               it Kossolhäus aorta 4 www.kes ” . nachmMittaGs” | w Tiekets: 0907 4431510 ) am R z/ EE M nn «-'“'1‘.\net // © kesseiht:  an  Le PLR d Gebonee"") J rr TE RRE tte X E B | | i       Pm n 4 "" L ” l’ 4 "
plakatfotos,DSC_0013.JPG,**  i       | me                Ausführende:  Alt: Bettina Bruns  Tenor: Christoph Leonhardt Bass: Bert Mario Temme Instrumentalisten  SangeriInnen der Immanuel - Kantorei Leitung: Monika Ellert  Evangelische Bartholomäuskirche Friedenstraße 1  Eintritt frei um eine Kollekte wird gebeten! ,"     W | ]  1  |116F  ""Herr Jesu Christ  31.10.2020  18.00 Uh =           -Ausfthrende:  Alt: Bettina Bruns  Tenor: Christoph Leonhardt Bass: Bert Mario Temme Instrumentalisten  SangerInnen der Immanuel - Kantorei Leitung: Monika Ellert  Evangelische Bartholomauskirche FriedenstraGe 1  Eintritt frei um eine Kollekte wird gebeten! gam       ","Herr Jesu Christ”  | 31.10.2020 18.00 Uhr          at        |  Bachkant  B ee ee h 'Il""l  Alt: Bettina Bruns Tenor: Christoph Leonhardt | Bass: Bert Mario Temme Instrumentalisten uns Sangerinnen der Immanuel - Kantorei | Leitung: Monika Ellert  Evangelische Bartholomäuskirche Friedenstraße 1  Eintritt frei um eine Kollekte wird PL = R     a e a Tei n n e 4 € 7 g = \ 9 "" ‚f — o ” ad wy. ts h c K *""?«‘ ","2 &  Herr Jesu Christ’  | 31.10.2020 1 18.00 Uhr              —  Bachkantat  \ / Ausführende: 'l ' 'I‘""I Alt: Bettina Bruns Tenor: Christoph Leonhardt 1 Bass: Bert Mario Temme iu ih Instrumentalisten  To Sangerinnen der Immanuel - Kantorei € |n Leitung: Monika Ellert 1 |N me & H4 or B \ % ‘ T""‘ ' Evangelische Bartholomäuskirche ‘ Friedenstraße 1 | A  [ ‘ .'\ a | | ä Eintritt frei um eine Kollekte wird gebeten! gä ","1 @  Herr Jesu Christ '  5 31.10.2920 : 18.00 Uhr              i  Bachkantat  i R Ausführende: 'l i LL | PV eesti ete acs Tenor: Christoph Leonhardt i Bass: Bert Mario Temme el ih Instrumentalisten  ‘l“. Sängerinnen der Immanuel - Kantorei A a enviar e | | AB R —— 0 m R % ‘ T""‘ ' Evangelische Bartholomäuskirche ° FriedenstraBe 1 R  R ‘ .'\ "" U { Eintritt frei um eine Kollekte wird gebeten! i. "
plakatfotos,DSC_0014.JPG,     ,  ,                                   ,aus     m Mm C 1 i A \  ee © n o R y & ry zee V J et 78 x od cok i Re Wer war yea =  Immanuel & Kirch?  125 Jahre Immanuelkirche Prenzlauer Berg                                                                                                                       Ausstellung des Museums Pankow Prenzlauer Allee 227 direkt gegeniiber  20.2.—13.09.2020  geoffnet Dienstag bis Sonntag 10:00-18:00 Uhr    ,ii     i *** as Q 92 . 4 = ‘ ¥  af. Arey nee @ \ ” & : ze R J bs 8 oe 4 ae ” we Wer war Ga  Immanuel ¥ Kirch?  125 Jahre Immanuelkirche Prenzlauer Berg                                                                                                                       Ausstellung des Museums Pankow Prenzlauer Allee 227 direkt gegeniiber  20.2.— 13.09.2020  geoffnet Dienstag bis Sonntag 10:00-18:00 Uhr    
plakatfotos,DSC_0015.JPG,            Immanuelkirchstr     BVG SP.P.205.  3 i  #  *m # ä  vi o 9n — ee s ” ” NL aT nn . ao rn bo ” . ” oA h F — Pee. aa    ,?  Helmhozplatz bis Stargarder Str.  Prenzl Berg  P*ﬂ \ A der DAS B Card ie oe Ryahlen und Punkte sammeln.  «ind out more:  aS CARD ia ge  ALBERT  -end der Veranstaltung w  1 nae Geer  BVG SP.P.205.  30.10.20 Freitag  18 — 23 Uhr  C  M)  ergen Fotos zu Zwecken dep Öffel‘t'ichkeitSav beit gemacht ge OS Z    ,Helmhozplatz bis Stargarder Str. ! / — 30.10.20  Prenzl Berg * Freitag 18 — 23 Uhr  it der DAS B Card kontaktlos Rahlen und Punkte sammeln.  ind out more:   £) DASB Card PY Kone)  Mti MA i A 1 ’fn[—:gß‘k!n  ) F ALBERT  n)  sntlichkeitsarbe acht 4 der Veranstaltung wergen Fotos zu Pr e ital tlichkeitsarbeit gemact  Fy rae er t ”     BVG SP.P.205.  meee moe Kn  Kn ,"BYG SP.P.205  Helmhozplatz bis Stargarder Str. 30.10.20  |ng1 WW | ? ei Freitag  18 — 23 Uhr  ATE NIGHT '%  3 "" w ""‘q"" der DAS B Card kontaktlos R 7 atapien und Punkte sammeln.  s Mst Mir i a an    ","BYG SP P 205  Helmhozplatz bis Stargarder Str. 30.10.20  |W gcht 1n 2 „t M Nie Freitag  18 — 23 Uhr  ATE NIGHT '*  5 "" o ""‘q"" der DAS B Card kontaktlos ” > ©) Sa Punkte sammeln.  * VICTORIA Max e it n    "
plakatfotos,DSC_0016.JPG,   DIS GANZS FRSIHSIT  KUNST — MOBEL + OBJEKTE        EMBOPEIDET —  m | _ MIT DEN KUN gain   MBRKUSITOSPE ‚ Ps SAN RDOPFLEISCH SINTA VWERNER  + 03.04 = VERNISSAGE:  omen 03.09.2020  19.00 = 21.00 UHR 22.10.                                  8 — Tram M4 / Hufelandstraße 4  Gr < www.dieganzefreiheit.berli Greifswalder Str. 21 6 F     ,DIS GANZE FRSIHSIT  KUNST — MOBEL + OBJEKTE  MIT DEN KUN  RNISSAGE: 03.09.2020 19.00 - 21.00 UHR  M4 / HufelandstraBe www.dieganzetreiheit. berlin  Greifswalder Str. 218 — bral    ,DIS GANZS FRSIHSIT  KUNST + MOBEL + OBJEKTE  ME  MIT DEN KUN  RNISSAGE: 03.09.2020 19.00 : 21.00 UHR  218 — Tram M4 / Hufela =     cTROM ,Dl@ GANZE FRSEIHEIT  KUNST + MÖBEL + OBJEKTE  MIT DEN KÜNSE  SRNISSAGE: 03.09.2020 19.00 - 21.00 UHR  wreitswalde € % and's 3 www.dieganzefreiheit.berlin © f Ider St 8 — Tram M4 felandstraße i str. 21 Tram Hufe  a BS o Me as — —   R N ie g k W At /l‚. ‚ R 7 v6 r9 2 a S. ” —_ oe FE ” EK    ,DiE GANZE FRSEIHEIT  KUNST + MOBEL + OBJEKTE  MIT DEN KUNSg  :RNISSAGE: 03.09.2020 19.00 — 21.00 UHR  areriswalde — * ands 3 w w.dieganzetreibeit. berlin € t ider St R — ”Tram M4 felandstra be i str. 21 Trai Mule  EN C Hn  i # an ak WK n: ie wf — — ‚' a — i ‚ ay - e ee n    
