DIRECTORY,FILE,ocr_google
plakatfotos,DSC_0007.JPG,LIEBIG|ag-|eine|Die|Der|rigus|inle|RAUMUNG|VVERHINDERN|s!|DER STP|vag|09.10.20|liebig34.blogsport.de|https://|
plakatfotos,DSC_0008.JPG,BERLIN|ONA|Vivian Suter|Bonzo's Dream|HAUPTSTADT|MACHEN|KER.|LL!|7.15m|Brücke-Museum|Bussardsteig 9|D-14195 Berlin|bruecke-museum.de|13. September 2020|bis 14. Februar 2021|Eines der besten Mehle der Welt|STEFAN STEINME1Z|ADER|EKEKKE Museum|helm-ron|ER|TH|WLINE|ICKETS|YORCK.DE|MANN|FR&P|NICO AUS NEUKÖLLN LEITER DES GESUNDHEITSAMTS|EUKOLL4BEZIRKSBURGERMEISTER|
plakatfotos,DSC_0009.JPG,Schön|dmmiGWillnowski|00000|TOUR 2020|Jagu Agentur|10. & 11. November|7. Dezember|THOMAS HERMANNS'|QUATSCH|COMEDY CLUB|Tickets und Infos: auatschcomeducluh de|030 / 86 32 947 00 OBERPLAKATIEREN|www.KULTURPLAKATIERUNG.DE VERBOTEN|kulturplakatierung|
plakatfotos,DSC_0010.JPG,SIMONE|DEDE AYIVI|UND KOMPLIZ*INNEN|SOPHIEN|SÆLE|PERFORMANCE / INSTALLATION|OKTOBER 21 22 23 24|SH-1900 + 21.00 UHR|HAUPT|STADT|KULTUR|FONDS|16|abehim|bemin Berlin|atverwetung|N d Epa|taz|UNO|Gefordert van UNO FlOchtu|Die Veranstattenden beha|THE KIDS ARE ALRIGHT|SOPHIENSAELE.COM|
plakatfotos,DSC_0011.JPG,"NACH DEN NSU-MONOLOGEN:|WOrt|und|herz|schlag|DIE|MITTELMEER|MONOL OGE|eran|fehnz of ND REGIE: MICHAEL RUF|Der|Mch|""SO REALITÄTSVERÄNDERND|IST THEATER SELTEN.|amnesty journal|1/5/6/27/28 SEPT + 3/4 OKT 2020|SILENT GREEN|SEPT|eT+21722 OKT +23/24 NOV +|DEZ-HEIMATHAFEN NEUKÖLLN|HAUPT|STADT|KULTUR|FONDS|HEIMATHAFEN|NEUKOLLN|silent green|sea Warchog|16/17|Helle Panke|HEINRICH|BÖLL|STIFTUNS|bemim Berlin|bemi|Förderfonds|Demokratie|Berdin|Brot|M de|DEUTSCHE|POSTCODE|LOTTERIE|LUSH|bemiedin|des|mm.Demokrntie. Vietfa|FRE|taz|UNO|GEMENTGLOBAL Im Auftrag des BMZ Brot für die Welt aus Mitteln des Kirchlichen Entwicklingsdenstes Helle Panke Landesstelle für Entwicklungszusammenarbeit (LEZ) des Landes Berlin Senatsverwaltng für Wirtschaft Energie und Betriebe Landesp Böll-Stiftung.|0 us und Antisernitismus"" aus Mitteln der Senatsverwalfung für Justiz. Verbrauberschutz und Antidiskriminierung LUSH Charity Fonds Solidaritatsfonds der Hans-Böckler-Stiftunty Deutsche Pos.code Lotterie Fbrderfonds Demokratie und Hcfenverachtende Außeru|getrete sind.den Zutritt zur Veranstaltung zu verwehren oder von dieser auszuschließen.|Gebrauch zu machen und Personen die rechtsextremen Parteien oder Organistionen angehören der rechtsextremen Szene zuzuordnen sind oder bereits in der Vergangenheit durch ras istisc nationalistische antisemitische oder sonstige|Oefordert nn UNG FOOegate. El|Die Veranstal1enden bel|smus|Frem H|Srednt|e sen|"
plakatfotos,DSC_0012.JPG,"KESELHAS|mahinenha|KULRBRAU ERU|MM*|rockradio.de präsentieren|NASTRPEACE:|THEDYLAN|PRUECT|Fiizelente Miker versammeln sich|So|18.10.|19:00|Kesselhaus|m gemeinsalen Dylan-pbend.|ENGE|So|08.11.|16:00 & 20:00|Kesselhaus|Seit 1975 beweg|Grenzbereich zwische|Im Kesselhaus spiele|g im|nd Blues.|konzert.|NACHMITTAGS-SHOW &AN|Cie.|tou|KI GALA|kotelt GLA und GOGOW|nd P55 aufeinander.|So|22.11.|treffer Gr|Beim|iwsABEND-SHOW|16:00 & 20:00|Kesselhaus|www.kess|Ehe|Tickets: 030/44315100 // www|Kesselhaus|NACHMITTAGS|d stlick|""Unsere Konzerte finden bestuhlt Ull Voryerkauf: jeweils 2490 € (zzgl. Gebühren) /strae|net // kesselheharn|net|der KulturBrauerei // U2/N2 Eberswald|hevorschriften statt. Diese finden Sie auf unserer|Weble|RMSTUFEROT: CON|nhaus|"
plakatfotos,DSC_0013.JPG,"Bachkantate 33|„Allein zu dir|Herr Jesu Christ""|31.10.2020|18.00 Uhr|LL|Ausführende:|Alt: Bettina Bruns|Tenor: Christoph Leonhardt|Bass: Bert Mario Temme|Instrumentalisten|Sängerlnnen der Immanuel-Kantorei|Leitung: Monika Ellert|Evangelische Bartholomäuskirche|Friedenstraße 1|Eintritt frei um eine Kollekte wird gebeten!|o:www.ps-grafik.de Motiv: seitliches Kirchenfenster in der Bartholomäuskirche|Bachkantaten|in der Bartholomäuskirche|"
plakatfotos,DSC_0014.JPG,ag|11111|Wer war|Immanuel|Kirch?|125 Jahre Immanuelkirche Prenzlauer Berg|Ausstellung des Museums Pankow|Prenzlauer Allee 227 direkt gegenüber|20.2.– 13.09.2020|geöffnet Dienstag bis Sonntag 10:00-18:00 Uhr|
plakatfotos,DSC_0015.JPG,KUEIS|ll|ANA|Immanuelkirchstr|tweg|WOLK|Und|KUchenKultur|schaten|KUchenKulnur|Derin|Ausstellungs|Aktion|62%|BVG SP.P.205.|ba|Helmhozplatz bis Stargarder Str.|Prenzl Berg|30.10.20|Freitag|18 - 23 Uhr|Shopping &Dining|PRENZL|42|LATE NIGHT .|ree drinks Musik Vieles mehr|CARD|Mit der DASB Card kontaktlos|ahlen und Punkte sammeln.|CARD|ind out more:|DASB Card|O DASB Card|VICTORIA|МЕT|ALBERT|NIROY DRINK|MAKAI|BEEFAD|Regional|HERO|BCARD|bans never steep|HARD SELTZER|Wahrend der Veranstaltung werden Fotos zu Zwecken der|Öffentlichkeitsarbeit gemacht.|ranadzamba-theater|CARD|Bld van Pete y|
plakatfotos,DSC_0016.JPG,DIE GANZE FREIHEIT|KUNST • MÖBEL · OBJEKTE|MEDIAL|ENTKLEIDET|MIT DEN KÜNSTLERN|MARKUS WÜSTE|JAN KLOPFLEISCH|SINTA WERNER|03.09.|VERNISSAGE:|03.09.2020|19.00 - 21.00 UHR|ortrade|22.10.|Greifswalder Str. 218 – Tram M4 / Hufelandstraße|www.dieganzefreiheit.berlin|-|AL|LEGO|STROM|
