KEY;OEM;PSM;RGB;GRAY;BLUR;THRES;RESC;INV;IMAGES;BLOCKS;CONF;RUNTIME;COMMENT
13TrueFalseTrueFalseFalseFalse;1;3;True;False;True;False;False;False;10;76;63.3;13.5;BEST CONF OVERALL but less blocks than REFERENCE
11TrueFalseTrueFalseFalseFalse;1;1;True;False;True;False;False;False;10;76;63.3;13.8;
13TrueFalseTrueFalseFalseTrue;1;3;True;False;True;False;False;True;10;76;62.9;13.6;
11TrueFalseTrueFalseFalseTrue;1;1;True;False;True;False;False;True;10;76;62.9;13.8;
13FalseFalseTrueFalseFalseTrue;1;3;False;False;True;False;False;True;10;76;62.8;13.5;
11FalseFalseTrueFalseFalseTrue;1;1;False;False;True;False;False;True;10;76;62.8;13.8;
13FalseFalseTrueFalseFalseFalse;1;3;False;False;True;False;False;False;10;76;62.2;13.4;
11FalseFalseTrueFalseFalseFalse;1;1;False;False;True;False;False;False;10;76;62.2;13.8;
13TrueTrueFalseFalseFalseFalse;1;3;True;True;False;False;False;False;10;72;61.9;7;
11TrueTrueFalseFalseFalseFalse;1;1;True;True;False;False;False;False;10;72;61.9;7.6;
13TrueTrueFalseFalseFalseTrue;1;3;True;True;False;False;False;True;10;72;60.5;7;
11TrueTrueFalseFalseFalseTrue;1;1;True;True;False;False;False;True;10;72;60.5;7.8;
13TrueTrueFalseTrueFalseTrue;1;3;True;True;False;True;False;True;10;72;60.3;2.7;
11TrueTrueFalseTrueFalseTrue;1;1;True;True;False;True;False;True;10;72;60.3;3.2;
13TrueTrueFalseTrueFalseFalse;1;3;True;True;False;True;False;False;10;72;59.3;2.6;
11TrueTrueFalseTrueFalseFalse;1;1;True;True;False;True;False;False;10;72;59.3;3.2;
13TrueFalseFalseFalseFalseTrue;1;3;True;False;False;False;False;True;10;93;58.9;11.6;BEST CONF with equal blocks as REFERENCE
11TrueFalseFalseFalseFalseTrue;1;1;True;False;False;False;False;True;10;93;58.9;12;
13TrueFalseFalseFalseFalseFalse;1;3;True;False;False;False;False;False;10;93;58.8;11.4;
11TrueFalseFalseFalseFalseFalse;1;1;True;False;False;False;False;False;10;93;58.8;11.9;
13FalseFalseFalseFalseFalseTrue;1;3;False;False;False;False;False;True;10;93;58.6;11.6;
11FalseFalseFalseFalseFalseTrue;1;1;False;False;False;False;False;True;10;93;58.6;12.1;
13FalseTrueTrueTrueFalseTrue;1;3;False;True;True;True;False;True;10;85;58.4;2.5;
11FalseTrueTrueTrueFalseTrue;1;1;False;True;True;True;False;True;10;85;58.4;2.9;
13FalseFalseFalseFalseFalseFalse;1;3;False;False;False;False;False;False;10;93;58.2;11.4;REFERENCE (best config without img preprocessing)'
11FalseFalseFalseFalseFalseFalse;1;1;False;False;False;False;False;False;10;93;58.2;12.1;
13FalseTrueTrueFalseFalseTrue;1;3;False;True;True;False;False;True;10;86;57.9;7;
13FalseTrueTrueFalseFalseFalse;1;3;False;True;True;False;False;False;10;86;57.9;7.1;
